Rank,Census Name,City,State,2010 Census Pop.,Lat,Long,,
0,"Madison city, Wisconsin",Madison,WI,"233,209",43.087806,-89.430121,,
1,"New York city, New York",New York,NY,"8,175,133",40.664274,-73.9385,,
2,"Los Angeles city, California",Los Angeles,CA,"3,792,621",34.019394,-118.410825,,
3,"Chicago city, Illinois",Chicago,IL,"2,695,598",41.837551,-87.681844,,
4,"Houston city, Texas",Houston,TX,"2,099,451",29.780472,-95.386342,,
5,"Philadelphia city, Pennsylvania",Philadelphia,PA,"1,526,006",40.009376,-75.133346,,
6,"Phoenix city, Arizona",Phoenix,AZ,"1,445,632",33.572162,-112.087966,,
7,"San Antonio city, Texas",San Antonio,TX,"1,327,407",29.472403,-98.525142,,
8,"San Diego city, California",San Diego,CA,"1,307,402",32.8153,-117.134993,,
9,"Dallas city, Texas",Dallas,TX,"1,197,816",32.794176,-96.765503,,
10,"San Jose city, California",San Jose,CA,"945,942",37.296867,-121.819306,,
11,"Austin city, Texas",Austin,TX,"790,390",30.307182,-97.755996,,
12,"Jacksonville city, Florida",Jacksonville,FL,"821,784",30.337019,-81.661302,,
13,"San Francisco city, California",San Francisco,CA,"805,235",37.77492,-122.41941,,
14,"Indianapolis city (balance), Indiana",Indianapolis,IN,"820,445",39.776664,-86.145935,,
15,"Columbus city, Ohio",Columbus,OH,"787,033",39.984799,-82.985044,,
16,"Fort Worth city, Texas",Fort Worth,TX,"741,206",32.779542,-97.346335,,
17,"Charlotte city, North Carolina",Charlotte,NC,"731,424",35.208707,-80.830739,,
18,"Seattle city, Washington",Seattle,WA,"608,660",47.620499,-122.350876,,
19,"Denver city, Colorado",Denver,CO,"600,158",39.761849,-104.880625,,
20,"El Paso city, Texas",El Paso,TX,"649,121",31.84836,-106.426979,,
21,"Detroit city, Michigan",Detroit,MI,"713,777",42.383037,-83.102237,,
22,"Washington city, District of Columbia",Washington D.C.,DC,"601,723",38.904149,-77.017094,,
23,"Boston city, Massachusetts",Boston,MA,"617,594",42.33196,-71.020173,,
24,"Memphis city, Tennessee",Memphis ,TN,"646,889",35.103543,-89.978498,,
25,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville-Davidson,TN,"601,222",36.1718,-86.785002,,
26,"Portland city, Oregon",Portland,OR,"583,776",45.536951,-122.649971,,
27,"Oklahoma City city, Oklahoma",Oklahoma City,OK,"579,999",35.467079,-97.513657,,
28,"Las Vegas city, Nevada",Las Vegas,NV,"583,756",36.227712,-115.264045,,
29,"Baltimore city, Maryland",Baltimore,MD,"620,961",39.300213,-76.610516,,
30,"Louisville/Jefferson County metro government (balance), Kentucky",Louisville,KY,"597,337",38.178077,-85.666708,,
31,"Milwaukee city, Wisconsin",Milwaukee ,WI,"594,833",43.063348,-87.966695,,
32,"Albuquerque city, New Mexico",Albuquerque,NM,"545,852",35.105552,-106.647388,,
33,"Tucson city, Arizona",Tucson,AZ,"520,116",32.154289,-110.871062,,
34,"Fresno city, California",Fresno,CA,"494,665",36.782674,-119.794492,,
35,"Sacramento city, California",Sacramento,CA,"466,488",38.566592,-121.468632,,
36,"Kansas City city, Missouri",Kansas City,MO,"459,787",39.125212,-94.551136,,
37,"Long Beach city, California",Long Beach,CA,"462,257",33.809102,-118.155327,,
38,"Mesa city, Arizona",Mesa,AZ,"439,041",33.401926,-111.717379,,
39,"Atlanta city, Georgia",Atlanta,GA,"420,003",33.762909,-84.422675,,
40,"Colorado Springs city, Colorado",Colorado Springs,CO,"416,427",38.867255,-104.760749,,
41,"Virginia Beach city, Virginia",Virginia Beach,VA,"437,994",36.779322,-76.02402,,
42,"Raleigh city, North Carolina",Raleigh,NC,"403,892",35.830204,-78.641439,,
43,"Omaha city, Nebraska",Omaha,NE,"408,958",41.264675,-96.041927,,
44,"Miami city, Florida",Miami,FL,"399,457",25.775163,-80.208615,,
45,"Oakland city, California",Oakland,CA,"390,724",37.769857,-122.22564,,
46,"Minneapolis city, Minnesota",Minneapolis ,MN,"382,578",44.963323,-93.268284,,
47,"Tulsa city, Oklahoma",Tulsa,OK,"391,906",36.127949,-95.902316,,
48,"Wichita city, Kansas",Wichita,KA,"382,368",37.690694,-97.342678,,
49,"New Orleans city, Louisiana",New Orleans,LA,"343,829",30.068636,-89.939007,,
50,"Arlington city, Texas",Arlington,TX,"365,438",32.700708,-97.124691,,
