Site,Lat,Long
Andrews Forest LTER (AND),44.21,-122.26
Baltimore Ecosystem Study (BES),39.1,-76.3
Cedar Creek Ecosystem Science Reserve (CDR),45.4,-93.2
Central Arizona - Phoenix LTER (CAP),33.43,-111.93
Coweeta LTER (CWT),35,-83.5
Florida Coastal Everglades LTER (FCE),25.47,-80.85
Georgia Coastal Ecosystems LTER (GCE),31.43,-81.37
Harvard Forest LTER (HFR),42.53,-72.19
Hubbard Brook LTER (HBR),43.94,-71.75
Jornada Basin LTER (JRN),32.62,-106.74
Kellogg Biological Station LTER (KBS),42.4,-85.4
Konza Prairie LTER (KNZ),39.09,-96.58
Niwot Ridge LTER (NWT),39.99,-105.38
North Temperate Lakes LTER (NTL),46.01,-89.67
Plum Island Ecosystems LTER (PIE),42.76,-70.89
Santa Barbara Coastal LTER (SBC),34.41,-119.84
Sevilleta LTER (SEV),34.35,-106.88
Shortgrass Steppe (SGS),40.83,-104.72
Virginia Coast Reserve LTER (VCR),37.28,-75.91
Madison Lakes NTL,43.08,-89.4
